timepoint,n_cells,mean_ESS,median_ESS,frac_high_ESS
Day18_spNeuron,3431,0.6239875109495264,0.6257768119183971,0.3745263771495191
Day6_NMP,1366,0.5140729932889234,0.5095920675205039,0.09077598828696926
Day12_spNPG,2529,0.5009579523733381,0.5021851408330453,0.11229735073151444
Day3_NMP,1591,0.4255498863029515,0.4216619743914064,0.0056568196103079825
Day1_iPSC,1083,0.4035291273302018,0.3995334434854998,0.003693444136657433
